Received_Time_ms;Send_Time_ms;Delay_ms;Furnace_ID;Seq_Num;Payload_Bytes
1761895300784;1761920513000;-25212216;furnace2;3;50
1761895300786;1761920513000;-25212214;furnace2;4;54
1761895301734;1761920514000;-25212266;furnace2;8;48
1761895301777;1761920514000;-25212223;furnace2;9;52
1761895303132;1761920516000;-25212868;furnace2;13;49
1761895303274;1761920516000;-25212726;furnace2;14;53
1761895304847;1761920517000;-25212153;furnace2;18;51
1761895305217;1761920517000;-25211783;furnace2;19;55
1761895306502;1761920519000;-25212498;furnace2;23;49
1761895306502;1761920519000;-25212498;furnace2;24;53
1761895308164;1761920520000;-25211836;furnace2;28;49
1761895308165;1761920520000;-25211835;furnace2;29;53
1761895309232;1761920522000;-25212768;furnace2;33;51
1761895309319;1761920522000;-25212681;furnace2;34;55
1761895310681;1761920523000;-25212319;furnace2;38;51
1761895310815;1761920523000;-25212185;furnace2;39;55
1761895312261;1761920525000;-25212739;furnace2;43;51
1761895312346;1761920525000;-25212654;furnace2;44;55
1761895313814;1761920526000;-25212186;furnace2;48;51
1761895313860;1761920526000;-25212140;furnace2;49;55
1761895315259;1761920528000;-25212741;furnace2;53;51
1761895315377;1761920528000;-25212623;furnace2;54;55
1761895316696;1761920529000;-25212304;furnace2;58;51
1761895316813;1761920529000;-25212187;furnace2;59;55
1761895318246;1761920531000;-25212754;furnace2;63;51
1761895318365;1761920531000;-25212635;furnace2;64;55
1761895319745;1761920532000;-25212255;furnace2;68;51
1761895319873;1761920532000;-25212127;furnace2;69;55
1761895321343;1761920534000;-25212657;furnace2;73;51
1761895321418;1761920534000;-25212582;furnace2;74;55
1761895323231;1761920535000;-25211769;furnace2;78;51
1761895323378;1761920535000;-25211622;furnace2;79;55
1761895324362;1761920537000;-25212638;furnace2;83;49
1761895324566;1761920537000;-25212434;furnace2;84;53
1761895325895;1761920538000;-25212105;furnace2;88;49
1761895326001;1761920538000;-25211999;furnace2;89;53
1761895327430;1761920540000;-25212570;furnace2;93;49
1761895327509;1761920540000;-25212491;furnace2;94;53
1761895328914;1761920541000;-25212086;furnace2;98;49
1761895329030;1761920541000;-25211970;furnace2;99;53
1761895330419;1761920543000;-25212581;furnace2;103;50
1761895330544;1761920543000;-25212456;furnace2;104;54
1761895332042;1761920544000;-25211958;furnace2;108;50
1761895332108;1761920544000;-25211892;furnace2;109;54
1761895333473;1761920546000;-25212527;furnace2;113;50
1761895333567;1761920546000;-25212433;furnace2;114;54
1761895334945;1761920547000;-25212055;furnace2;118;50
1761895335070;1761920547000;-25211930;furnace2;119;54
1761895336470;1761920549000;-25212530;furnace2;123;50
1761895336590;1761920549000;-25212410;furnace2;124;54
1761895338335;1761920550000;-25211665;furnace2;129;54
1761895338334;1761920550000;-25211666;furnace2;128;50
1761895339717;1761920552000;-25212283;furnace2;134;54
1761895339717;1761920552000;-25212283;furnace2;133;50
1761895341149;1761920554000;-25212851;furnace2;138;50
1761895341149;1761920554000;-25212851;furnace2;139;54
1761895342613;1761920555000;-25212387;furnace2;143;50
1761895342635;1761920555000;-25212365;furnace2;144;54
1761895344028;1761920557000;-25212972;furnace2;148;50
1761895344235;1761920557000;-25212765;furnace2;149;54
1761895345669;1761920558000;-25212331;furnace2;153;50
1761895345906;1761920558000;-25212094;furnace2;154;54
1761895347080;1761920560000;-25212920;furnace2;158;50
1761895347392;1761920560000;-25212608;furnace2;159;54
1761895348598;1761920561000;-25212402;furnace2;163;50
1761895348700;1761920561000;-25212300;furnace2;164;54
1761895350098;1761920563000;-25212902;furnace2;168;50
1761895350249;1761920563000;-25212751;furnace2;169;54
1761895351722;1761920564000;-25212278;furnace2;173;50
1761895351794;1761920564000;-25212206;furnace2;174;54
1761895353137;1761920566000;-25212863;furnace2;178;50
1761895353265;1761920566000;-25212735;furnace2;179;54
1761895354656;1761920567000;-25212344;furnace2;183;50
1761895354779;1761920567000;-25212221;furnace2;184;54
1761895356171;1761920569000;-25212829;furnace2;188;50
1761895356305;1761920569000;-25212695;furnace2;189;54
1761895357676;1761920570000;-25212324;furnace2;193;50
1761895357804;1761920570000;-25212196;furnace2;194;54
1761895359180;1761920572000;-25212820;furnace2;198;50
1761895359312;1761920572000;-25212688;furnace2;199;54
1761895368120;1761920581000;-25212880;furnace2;203;50
1761895368246;1761920581000;-25212754;furnace2;204;54
1761895370648;1761920583000;-25212352;furnace2;208;50
1761895370776;1761920583000;-25212224;furnace2;209;54
1761895372167;1761920584000;-25211833;furnace2;213;50
1761895372297;1761920584000;-25211703;furnace2;214;54
1761895373688;1761920585000;-25211312;furnace2;218;50
1761895373934;1761920585000;-25211066;furnace2;219;54
1761895375258;1761920587000;-25211742;furnace2;223;50
1761895375927;1761920587000;-25211073;furnace2;224;54
1761895376706;1761920588000;-25211294;furnace2;228;50
1761895376834;1761920588000;-25211166;furnace2;229;54
1761895378212;1761920590000;-25211788;furnace2;233;50
1761895378343;1761920590000;-25211657;furnace2;234;54
1761895379763;1761920591000;-25211237;furnace2;238;50
1761895379849;1761920591000;-25211151;furnace2;239;54
1761895381236;1761920593000;-25211764;furnace2;243;50
1761895381367;1761920593000;-25211633;furnace2;244;54
1761895382755;1761920594000;-25211245;furnace2;248;50
1761895382928;1761920594000;-25211072;furnace2;249;54
1761895384259;1761920596000;-25211741;furnace2;253;50
1761895384483;1761920596000;-25211517;furnace2;254;54
1761895386422;1761920597000;-25210578;furnace2;258;50
1761895386422;1761920597000;-25210578;furnace2;259;54
1761895387269;1761920599000;-25211731;furnace2;263;50
1761895387398;1761920599000;-25211602;furnace2;264;54
1761895388771;1761920600000;-25211229;furnace2;268;50
1761895388901;1761920600000;-25211099;furnace2;269;54
1761895390287;1761920602000;-25211713;furnace2;273;50
1761895390517;1761920602000;-25211483;furnace2;274;54
1761895391798;1761920603000;-25211202;furnace2;278;50
1761895391932;1761920603000;-25211068;furnace2;279;54
1761895393301;1761920605000;-25211699;furnace2;283;50
1761895393431;1761920605000;-25211569;furnace2;284;54
1761895394835;1761920606000;-25211165;furnace2;288;50
1761895394933;1761920606000;-25211067;furnace2;289;54
1761895396324;1761920608000;-25211676;furnace2;293;50
1761895396451;1761920608000;-25211549;furnace2;294;54
1761895397830;1761920609000;-25211170;furnace2;298;50
1761895397959;1761920609000;-25211041;furnace2;299;54
1761895399486;1761920611000;-25211514;furnace2;303;50
1761895399617;1761920611000;-25211383;furnace2;304;54
1761895401003;1761920613000;-25211997;furnace2;308;50
1761895401146;1761920613000;-25211854;furnace2;309;54
1761895402522;1761920614000;-25211478;furnace2;313;50
1761895402679;1761920614000;-25211321;furnace2;314;54
1761895404055;1761920616000;-25211945;furnace2;318;50
1761895404167;1761920616000;-25211833;furnace2;319;54
1761895405690;1761920617000;-25211310;furnace2;323;50
1761895405707;1761920617000;-25211293;furnace2;324;54
1761895407066;1761920619000;-25211934;furnace2;328;50
1761895407197;1761920619000;-25211803;furnace2;329;54
1761895408690;1761920620000;-25211310;furnace2;333;50
1761895408817;1761920620000;-25211183;furnace2;334;54
1761895410194;1761920622000;-25211806;furnace2;338;50
1761895410343;1761920622000;-25211657;furnace2;339;54
1761895411724;1761920623000;-25211276;furnace2;343;50
1761895411845;1761920623000;-25211155;furnace2;344;54
1761895413384;1761920625000;-25211616;furnace2;348;50
1761895413485;1761920625000;-25211515;furnace2;349;54
1761895415094;1761920626000;-25210906;furnace2;354;54
1761895415092;1761920626000;-25210908;furnace2;353;50
1761895416381;1761920628000;-25211619;furnace2;358;50
1761895416433;1761920628000;-25211567;furnace2;359;54
1761895419098;1761920629000;-25209902;furnace2;363;50
1761895419660;1761920631000;-25211340;furnace2;368;50
1761895419679;1761920629000;-25209321;furnace2;364;54
1761895419680;1761920631000;-25211320;furnace2;369;54
1761895421068;1761920632000;-25210932;furnace2;373;50
1761895421136;1761920632000;-25210864;furnace2;374;54
1761895423696;1761920634000;-25210304;furnace2;378;50
1761895423697;1761920634000;-25210303;furnace2;379;54
1761895424872;1761920635000;-25210128;furnace2;383;50
1761895424875;1761920635000;-25210125;furnace2;384;54
1761895427622;1761920637000;-25209378;furnace2;388;50
1761895427623;1761920637000;-25209377;furnace2;389;54
1761895427624;1761920638000;-25210376;furnace2;393;50
1761895427624;1761920638000;-25210376;furnace2;394;54
1761895431221;1761920640000;-25208779;furnace2;398;50
1761895431222;1761920641000;-25209778;furnace2;403;50
